previous,MSFS2024,MSFS2020,XP12,XP11,GeoFS,P3D,Infinite Flight,DCS,FlightGear,AeroFly,FSX,Rortos,Falcon BMS,Aerowinx,Others,total
MSFS2024,0,533,288,41,37,9,9,39,3,6,3,1,2,1,2,974
MSFS2020,6265,0,249,44,51,23,16,32,9,8,1,3,7,1,2,6711
XP12,274,155,0,26,5,3,2,10,2,1,0,2,0,0,0,480
XP11,72,140,272,0,6,8,7,4,3,2,0,0,4,0,0,518
GeoFS,38,62,9,8,0,1,30,8,13,13,0,6,3,2,1,194
P3D,130,147,26,6,5,0,5,2,1,1,0,1,0,2,0,326
Infinite Flight,33,22,7,7,31,5,0,0,1,3,0,4,0,0,1,114
DCS,64,40,6,3,7,4,2,0,1,0,0,1,7,1,3,139
FlightGear,11,13,10,9,9,1,2,1,0,2,1,3,0,1,0,63
AeroFly,14,9,7,6,10,1,4,0,1,0,0,2,0,0,0,54
FSX,39,41,9,7,2,10,0,0,0,0,0,0,0,0,0,108
Rortos,13,7,2,4,20,1,18,1,3,6,0,0,0,0,0,75
Falcon BMS,5,6,2,1,4,1,1,1,2,0,0,0,0,0,1,24
Aerowinx,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,14
Others,6,6,2,1,8,0,1,0,0,0,1,0,0,0,0,25
